GRADESPAN,COUNTY,CNTYNAME,all county dropout rates,FIPS
712,199,Rockwall County,0.1,397
712,200,Runnels County,0.5,399
712,201,Rusk County,0.3,401
712,202,Sabine County,0.8,403
712,203,San Augustine County,0.2,405
712,204,San Jacinto County,1.0,407
712,205,San Patricio County,0.7,409
712,206,San Saba County,0.2,411
712,207,Schleicher County,0.0,413
712,208,Scurry County,0.6,415
712,209,Shackelford County,0.0,417
712,210,Shelby County,0.1,419
712,211,Sherman County,0.0,421
712,212,Smith County,0.4,423
712,213,Somervell County,0.5,425
712,214,Starr County,1.0,427
712,215,Stephens County,2.5,429
712,216,Sterling County,0.0,431
712,217,Stonewall County,0.0,433
712,218,Sutton County,0.3,435
712,219,Swisher County,0.1,437
712,220,Tarrant County,2.0,439
712,221,Taylor County,1.4,441
712,222,Terrell County,0.0,443
712,223,Terry County,0.2,445
712,224,Throckmorton County,0.0,447
712,225,Titus County,0.2,449
712,226,Tom Green County,0.7,451
712,227,Travis County,2.7,453
712,228,Trinity County,1.0,455
712,229,Tyler County,0.5,457
712,230,Upshur County,0.8,459
712,231,Upton County,0.3,461
712,232,Uvalde County,2.8,463
712,233,Val Verde County,2.1,465
712,234,Van Zandt County,0.7,467
712,235,Victoria County,0.5,469
712,236,Walker County,2.4,471
712,237,Waller County,1.0,473
712,238,Ward County,0.5,475
712,239,Washington County,1.1,477
712,240,Webb County,0.8,479
712,241,Wharton County,1.0,481
712,242,Wheeler County,0.2,483
712,243,Wichita County,0.6,485
712,244,Wilbarger County,1.4,487
712,245,Willacy County,0.4,489
712,246,Williamson County,0.4,491
712,247,Wilson County,0.8,493
712,248,Winkler County,0.1,495
712,249,Wise County,0.7,497
712,250,Wood County,0.3,499
712,251,Yoakum County,0.1,501
712,252,Young County,0.3,503
712,253,Zapata County,1.3,505
712,254,Zavala County,3.3,507
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
